IDProgram,NamaProgram,DeskripsiProgram,WaktuMulai,WaktuBerakhir
31,Pembacaan dan diskusi Buku,Melalui buku narapidana didorong untuk memperkaya pengetahuan dan meningkatkan pemahaman literasi,2020-03-05,2020-04-08
32,Kelas Literasi Dasar,Meningkatkan kemampuan calistung bagi narapidana,2022-08-28,2022-10-02
33,Turnamen Olahraga,Meningkatkan kompetisi sehat dan sportivitas narapidana melalui turnamen olahraga,2018-10-22,2018-12-18
34,Terapi Relapse Prevention,Membantu narapidana yang pernah mengalami ketergantungan untuk menghindari relapse,2016-05-21,2016-06-19
35,Workshop Seni Lukis,Dibuka untuk semua narapidana yang ingin mengembangkan kreativitas melalui lukisan,2005-12-01,2005-12-26
36,Kelas Literasi Dasar,Meningkatkan kemampuan calistung bagi narapidana,2009-02-13,2009-03-18
37,Terapi Kelompok,Terapi untuk mengatasi masalah emosional seperti amarah atau depresi dan meningkatkan komunikasi interpersonal,2009-04-13,2009-05-29
38,Pelatihan Kerajinan Tangan,Membimbing narapidana untuk membuat produk kerajinan seperti tas dan aksesoris kecil,2012-03-06,2012-03-31
39,Pelatihan Kerajinan Tangan,Membimbing narapidana untuk membuat produk kerajinan seperti tas dan aksesoris kecil,2010-11-24,2010-12-15
40,Pelatihan Kerajinan Tangan,Membimbing narapidana untuk membuat produk kerajinan seperti tas dan aksesoris kecil,2020-06-27,2020-07-22
41,Kelas Literasi Dasar,Meningkatkan kemampuan calistung bagi narapidana,2010-07-03,2010-07-26
42,Terapi Kelompok,Terapi untuk mengatasi masalah emosional seperti amarah atau depresi dan meningkatkan komunikasi interpersonal,2018-01-25,2018-03-15
43,Pembacaan dan diskusi Buku,Melalui buku narapidana didorong untuk memperkaya pengetahuan dan meningkatkan pemahaman literasi,2023-05-25,2023-07-13
44,Turnamen Olahraga,Meningkatkan kompetisi sehat dan sportivitas narapidana melalui turnamen olahraga,2023-02-25,2023-04-13
45,Kelas Musik,Melatih kemampuan musik untuk meningkatkan mood dan kesehatan mental,2004-10-27,2004-11-19
46,Pelatihan Kerajinan Tangan,Membimbing narapidana untuk membuat produk kerajinan seperti tas dan aksesoris kecil,2019-12-28,2020-01-18
47,Kelas Kebugaran,Mengadakan Latihan fisik rutin untuk meningkatkan kesehatan fisik dan mengurangi stress,2010-06-21,2010-08-09
48,Pembacaan dan diskusi Buku,Melalui buku narapidana didorong untuk memperkaya pengetahuan dan meningkatkan pemahaman literasi,2005-06-28,2005-08-13
49,Kelas Literasi Dasar,Meningkatkan kemampuan calistung bagi narapidana,2008-03-15,2008-04-13
50,Terapi Relapse Prevention,Membantu narapidana yang pernah mengalami ketergantungan untuk menghindari relapse,2023-06-15,2023-07-11
